Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Fisher, 1989,  Indomed -leg 12	88	P	17	57	-20.0	28.4	8.7	13.0	0.94
Fisher, 1989,  Indomed -leg 12	86	P	18	61	-19.9	28.3	8.7	12.9	0.94
Fisher, 1989,  Indomed -leg 12	90	P	18	60	-19.0	28.3	8.7	12.0	0.94
Fisher, 1989,  Indomed -leg 12	101	P	9	31	-18.5	28.3	8.7	11.5	0.94
Fisher, 1989,  Indomed -leg 12	105	P	6	25	-19.3	28.2	8.7	12.3	0.94
Fisher, 1989,  Indomed -leg 12	104	P	5	24	-18.2	28.2	8.7	11.2	0.94
Fisher, 1989,  Indomed -leg 12	99	P	10	33	-19.9	27.9	8.8	12.8	0.94
Fisher, 1989,  Indomed -leg 12	100	P	8	29	-19.2	27.9	8.8	12.1	0.94
Fisher, 1989,  Indomed -leg 12	91	P	17	54	-18.6	27.8	8.8	11.5	0.94
Fisher, 1989,  Indomed -leg 12	106	P	3	21	-20.0	27.8	8.8	12.9	0.94
Fisher, 1989,  Indomed -leg 12	92	P	17	49	-18.0	27.5	8.9	10.9	0.95
Fisher, 1989,  Indomed -leg 12	98	P	12	36	-19.9	27.4	8.9	12.8	0.95
Fisher, 1989,  Indomed -leg 12	97	P	15	41	-19.9	27.2	8.9	12.8	0.95
Sackett et al., 1965, Science	1	P	6	88	-21.7	27.0	9.0	14.5	0.95
Fisher, 1989,  Indomed -leg 12	107	P	5	22	-20.4	27.0	9.0	13.2	0.95
Fisher, 1989,  Indomed -leg 12	93	P	17	45	-18.3	26.9	9.0	11.1	0.95
Fisher, 1989,  Indomed -leg 12	96	P	14	39	-18.5	26.9	9.0	11.3	0.95
Fisher, 1989,  Indomed -leg 12	94	P	17	47	-19.4	26.8	9.0	12.2	0.96
Fisher, 1989,  Indomed -leg 12	95	P	15	43	-17.9	26.8	9.0	10.7	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	314	P	7	88	-21.7	26.7	9.0	14.5	0.96
Sackett et al., 1965, Science	5	N	28	68	-21.4	26.5	9.1	14.2	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	318	P	28	68	-21.4	26.5	9.1	14.2	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	325	P	14	68	-19.6	26.5	9.1	12.4	0.96
Sackett et al., 1965, Science	9	N	13	67	-19.6	26.5	9.1	12.4	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	323	P	20	67	-23.1	26.2	9.2	15.8	0.96
Sackett et al., 1965, Science	8	N	18	60	-20.6	26.0	9.2	13.3	0.96
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	324	P	18	60	-20.6	26.0	9.2	13.3	0.96
