Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Fisher, 1989;  ANT-IV/2	140	P	-1000	-1000	-22.7	12.1	13.7	13.8	1.14
Francois et al., 1993 GBC	461	I	-45	-66	-21.1	11.9	13.7	12.2	1.14
Fontugene et al., 1991, Mar.Chem	412	P	-1000	1000	-19.9	11.7	13.8	11.0	1.14
Fontugene et al., 1991, Mar.Chem	411	P	-1000	1000	-22.7	10.9	14.2	13.7	1.15
Sackett et al., 1965, Science	10	P	-41	56	-27.6	10.7	14.3	18.5	1.16
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	326	P	-42	57	-27.6	10.7	14.3	18.5	1.16
Fontugene et al., 1991, Mar.Chem	410	P	-1000	1000	-27.7	10.7	14.3	18.6	1.16
Francois et al., 1993 GBC	458	I	-45	-67	-22.8	10.2	14.5	13.7	1.16
Fontugene et al., 1991, Mar.Chem	409	P	-1000	1000	-25.0	10.1	14.6	15.9	1.16
Francois et al., 1993 GBC	457	I	-46	-67	-23.1	9.9	14.7	14.0	1.17
Francois et al., 1993 GBC	460	I	-45	-66	-22.9	9.8	14.7	13.7	1.17
Francois et al., 1993 GBC	459	I	-45	-66	-22.3	8.9	15.2	13.0	1.18
Fontugene et al., 1991, Mar.Chem	408	P	-1000	1000	-24.3	8.5	15.4	15.0	1.19
Fisher, 1989;  Metor 56/3	147	P	-1000	-1000	-21.8	8.1	15.6	12.5	1.19
Francois et al., 1993 GBC	455	I	-46	-68	-23.2	7.7	15.8	13.8	1.20
Francois et al., 1993 GBC	456	I	-46	-67	-24.4	7.4	16.0	14.9	1.20
Fontugene et al., 1991, Mar.Chem	405	P	-1000	1000	-26.2	7.1	16.2	16.7	1.21
Francois et al., 1993 GBC	454	I	-47	-68	-24.6	6.8	16.3	15.1	1.21
Francois et al., 1993 GBC	452	I	-47	-51	-25.8	6.7	16.4	16.3	1.22
Fisher, 1989;  Metor 56/3	148	P	-1000	-1000	-21.0	6.6	16.5	11.5	1.22
Fontugene et al., 1991, Mar.Chem	406	P	-1000	1000	-24.6	6.5	16.5	15.1	1.22
Fontugene et al., 1991, Mar.Chem	407	P	-1000	1000	-23.4	6.5	16.5	13.8	1.22
Francois et al., 1993 GBC	451	I	-48	-52	-25.8	6.3	16.6	16.2	1.22
Fisher, 1989;  Metor 56/3	149	P	-1000	-1000	-23.2	6.0	16.8	13.6	1.23
Fisher, 1989;  ANT-IV/2	142	P	-1000	-1000	-22.2	5.8	16.9	12.5	1.23
Fisher, 1989;  ANT-IV/2	143	P	-1000	-1000	-23.5	5.7	17.0	13.9	1.23
Fontugene et al., 1991, Mar.Chem	404	P	-1000	1000	-25.4	5.7	17.0	15.8	1.23
Francois et al., 1993 GBC	449	I	-51	-55	-26.5	5.7	17.0	16.8	1.23
Francois et al., 1993 GBC	448	I	-51	-55	-25.4	5.6	17.1	15.7	1.23
Francois et al., 1993 GBC	450	I	-49	-54	-26.0	5.5	17.1	16.3	1.23
Francois et al., 1993 GBC	447	I	-51	-55	-25.3	5.5	17.1	15.6	1.23
Fontugene et al., 1991, Mar.Chem	403	P	-1000	1000	-24.9	5.4	17.2	15.2	1.24
Fontugene et al., 1991, Mar.Chem	402	P	-1000	1000	-25.1	5.2	17.3	15.4	1.24
Francois et al., 1993 GBC	453	I	-50	-67	-26.2	4.4	17.8	16.4	1.25
Fisher, 1989;  ANT-IV/2	144	P	-1000	-1000	-25.7	4.4	17.8	15.9	1.25
Fontugene et al., 1991, Mar.Chem	401	P	-1000	1000	-26.1	4.4	17.8	16.3	1.25
Francois et al., 1993 GBC	446	I	-52	-56	-25.8	4.1	18.0	16.0	1.25
Francois et al., 1993 GBC	445	I	-53	-58	-26.2	4.0	18.1	16.3	1.26
Fontugene et al., 1991, Mar.Chem	398	P	-1000	1000	-26.1	3.8	18.2	16.2	1.26
Fontugene et al., 1991, Mar.Chem	400	P	-1000	1000	-24.2	3.6	18.3	14.3	1.26
Fontugene et al., 1991, Mar.Chem	397	P	-1000	1000	-26.9	3.3	18.5	17.0	1.27
Francois et al., 1993 GBC	443	I	-55	-60	-25.0	3.2	18.6	15.0	1.27
Fontugene et al., 1991, Mar.Chem	399	P	-1000	1000	-24.6	3.1	18.7	14.7	1.27
Francois et al., 1993 GBC	442	I	-56	-61	-26.4	3.0	18.7	16.4	1.27
Francois et al., 1993 GBC	444	I	-54	-59	-26.6	3.0	18.7	16.6	1.27
Fisher, 1989;  ANT-IV/2	145	P	-1000	-1000	-24.5	2.5	19.1	14.5	1.28
Francois et al., 1993 GBC	431	I	-57	-72	-27.4	2.4	19.2	17.3	1.28
Fontugene et al., 1991, Mar.Chem	362	P	-1000	1000	-32.1	2.3	19.2	22.0	1.28
Fontugene et al., 1991, Mar.Chem	395	P	-1000	1000	-27.0	2.3	19.2	16.9	1.28
Francois et al., 1993 GBC	441	I	-58	-62	-28.3	2.3	19.2	18.2	1.28
Fisher, 1989;  Metor 56/3	153	P	-1000	-1000	-27.9	2.3	19.2	17.9	1.28
Fontugene et al., 1991, Mar.Chem	390	P	-1000	1000	-25.3	2.2	19.3	15.2	1.29
Francois et al., 1993 GBC	436	I	-57	-68	-24.5	2.2	19.3	14.4	1.29
Francois et al., 1993 GBC	439	I	-57	-63	-27.9	2.1	19.4	17.8	1.29
Fontugene et al., 1991, Mar.Chem	379	P	-1000	1000	-27.6	2.1	19.4	17.5	1.29
Francois et al., 1993 GBC	433	I	-57	-68	-25.8	2.1	19.4	15.7	1.29
Fisher, 1989;  Metor 56/3	154	P	-1000	-1000	-27.8	2.1	19.4	17.7	1.29
Francois et al., 1993 GBC	440	I	-57	-63	-26.0	2.1	19.4	15.9	1.29
Francois et al., 1993 GBC	434	I	-57	-68	-25.9	2.1	19.4	15.8	1.29
Francois et al., 1993 GBC	435	I	-57	-69	-26.3	2.0	19.4	16.2	1.29
Fontugene et al., 1991, Mar.Chem	396	P	-1000	1000	-26.2	2.0	19.4	16.1	1.29
Fisher, 1989;  Metor 56/3	158	P	-1000	-1000	-30.2	2.0	19.5	20.0	1.29
Francois et al., 1993 GBC	432	I	-57	-69	-25.0	2.0	19.5	14.9	1.29
Francois et al., 1993 GBC	430	I	-58	-75	-25.8	1.8	19.6	15.7	1.29
Fontugene et al., 1991, Mar.Chem	361	P	-1000	1000	-31.5	1.8	19.6	21.4	1.29
Fontugene et al., 1991, Mar.Chem	389	P	-1000	1000	-23.1	1.8	19.6	12.9	1.29
Fontugene et al., 1991, Mar.Chem	394	P	-1000	1000	-26.9	1.8	19.6	16.8	1.29
Sackett et al., 1965, Science	19	P	-61	62	-26.9	1.8	19.6	16.8	1.29
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	335	P	-62	62	-26.9	1.8	19.6	16.8	1.29
Francois et al., 1993 GBC	429	I	-58	-77	-27.1	1.8	19.6	17.0	1.29
Francois et al., 1993 GBC	428	I	-58	-80	-26.6	1.7	19.7	16.5	1.29
Francois et al., 1993 GBC	425	I	-58	-80	-26.7	1.6	19.7	16.5	1.30
Francois et al., 1993 GBC	424	I	-57	-79	-26.1	1.6	19.8	15.9	1.30
Francois et al., 1993 GBC	437	I	-59	-67	-27.3	1.5	19.8	17.1	1.30
Francois et al., 1993 GBC	427	I	-58	-79	-25.8	1.5	19.8	15.6	1.30
Fisher, 1989;  Metor 56/3	150	P	-1000	-1000	-24.7	1.4	19.9	14.5	1.30
Francois et al., 1993 GBC	426	I	-57	-79	-26.0	1.4	19.9	15.8	1.30
Fontugene et al., 1991, Mar.Chem	380	P	-1000	1000	-27.4	1.4	19.9	17.2	1.30
Fontugene et al., 1991, Mar.Chem	392	P	-1000	1000	-26.9	1.4	19.9	16.7	1.30
Fontugene et al., 1991, Mar.Chem	393	P	-1000	1000	-26.8	1.4	19.9	16.6	1.30
Francois et al., 1993 GBC	438	I	-59	-64	-28.4	1.3	20.0	18.2	1.30
Fisher, 1989;  Metor 56/3  > 150 µm	165	P	-1000	-1000	-25.9	1.2	20.1	15.7	1.30
Fontugene et al., 1991, Mar.Chem	391	P	-1000	1000	-26.8	1.2	20.1	16.6	1.30
Fisher, 1989;  Metor 56/3	163	P	-1000	-1000	-26.4	1.1	20.1	16.1	1.30
Fisher, 1989;  Metor 56/3  > 150 µm	170	P	-1000	-1000	-26.1	1.1	20.1	15.9	1.30
Fontugene et al., 1991, Mar.Chem	378	P	-1000	1000	-27.5	1.1	20.2	17.2	1.30
Fisher, 1989;  Metor 56/3	152	P	-1000	-1000	-26.8	1.0	20.2	16.6	1.31
Fisher, 1989;  Metor 56/3	162	P	-1000	-1000	-24.8	0.9	20.3	14.6	1.31
Fisher, 1989;  Metor 56/3  > 150 µm	169	P	-1000	-1000	-24.4	0.9	20.3	14.1	1.31
Fontugene et al., 1991, Mar.Chem	373	P	-1000	1000	-28.0	0.8	20.3	17.8	1.31
Fisher, 1989;  Metor 56/3	151	P	-1000	-1000	-26.5	0.8	20.4	16.2	1.31
Fisher, 1989;  Metor 56/3  > 150 µm	164	P	-1000	-1000	-26.5	0.8	20.4	16.2	1.31
Fontugene et al., 1991, Mar.Chem	364	P	-1000	1000	-29.4	0.5	20.6	19.1	1.31
Fontugene et al., 1991, Mar.Chem	365	P	-1000	1000	-29.2	0.5	20.6	18.9	1.31
Fontugene et al., 1991, Mar.Chem	366	P	-1000	1000	-29.0	0.5	20.6	18.7	1.31
Fischer, 1989;  ANT II/3  > 53 µm	177	P	-62	57	-31.7	0.5	20.6	21.4	1.31
Fischer, 1989;  ANT II/3  > 53 µm	178	P	-62	57	-29.1	0.5	20.6	18.8	1.31
Fisher, 1989;  Metor 56/3	156	P	-1000	-1000	-24.7	0.5	20.6	14.4	1.31
Fisher, 1989;  Metor 56/3	157	P	-1000	-1000	-29.0	0.5	20.6	18.7	1.31
Fisher, 1989;  Metor 56/3	161	P	-1000	-1000	-24.6	0.5	20.6	14.3	1.31
Fisher, 1989;  Metor 56/3  > 150 µm	166	P	-1000	-1000	-26.8	0.5	20.6	16.5	1.31
Fisher, 1989;  Metor 56/3  > 150 µm	167	P	-1000	-1000	-29.2	0.5	20.6	18.9	1.31
Fisher, 1989;  Metor 56/3	159	P	-1000	-1000	-27.4	0.4	20.7	17.1	1.32
Fisher, 1989;  Metor 56/3	160	P	-1000	-1000	-25.7	0.4	20.7	15.4	1.32
Fisher, 1989;  Metor 56/3  > 150 µm	168	P	-1000	-1000	-25.9	0.4	20.7	15.6	1.32
Fischer, 1989;  look up	191	P	-62	57	-29.4	0.3	20.8	19.0	1.32
Fischer, 1989;  look up	192	P	-62	57	-25.4	0.3	20.8	15.0	1.32
Fisher, 1989;  ANT-IV/2	146	P	-1000	-1000	-30.8	0.3	20.8	20.5	1.32
Fontugene et al., 1991, Mar.Chem	372	P	-1000	1000	-28.4	0.3	20.8	18.0	1.32
Fontugene et al., 1991, Mar.Chem	383	P	-1000	1000	-26.5	0.3	20.8	16.1	1.32
Fischer, 1989;  look up	186	P	-62	60	-32.4	0.2	20.8	22.1	1.32
Fischer, 1989;  look up	189	P	-62	60	-27.3	0.2	20.8	17.0	1.32
Sackett et al., 1965, Science	13	P	-60	54	-27.9	0.1	20.9	17.6	1.32
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	329	P	-61	55	-27.9	0.1	20.9	17.6	1.32
Fischer, 1989;  look up	184	P	-62	58	-33.4	0.1	20.9	23.1	1.32
Fischer, 1989;  look up	185	P	-62	59	-34.8	0.1	20.9	24.5	1.32
Fontugene et al., 1991, Mar.Chem	374	P	-1000	1000	-27.9	0.1	20.9	17.6	1.32
Fontugene et al., 1991, Mar.Chem	381	P	-1000	1000	-26.8	0.1	20.9	16.4	1.32
Fontugene et al., 1991, Mar.Chem	382	P	-1000	1000	-26.6	0.1	20.9	16.2	1.32
Fischer, 1989;  ANT II/3  > 53 µm	179	P	-61	57	-29.6	0.0	21.0	19.2	1.32
Fontugene et al., 1991, Mar.Chem	388	P	-1000	1000	-25.7	0.0	21.0	15.3	1.32
Fontugene et al., 1991, Mar.Chem	387	P	-1000	1000	-25.9	-0.1	21.1	15.5	1.32
Fontugene et al., 1991, Mar.Chem	363	P	-1000	1000	-29.3	-0.2	21.2	18.9	1.33
Fontugene et al., 1991, Mar.Chem	371	P	-1000	1000	-28.3	-0.2	21.2	17.9	1.33
Fontugene et al., 1991, Mar.Chem	375	P	-1000	1000	-27.6	-0.5	21.4	17.2	1.33
Fontugene et al., 1991, Mar.Chem	377	P	-1000	1000	-27.1	-0.5	21.4	16.7	1.33
Fischer, 1989;  ANT II/3  > 53 µm	176	P	-61	46	-32.2	-0.5	21.4	21.8	1.33
Sackett et al., 1965, Science	20	P	-62	40	-27.1	-0.5	21.4	16.7	1.33
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	336	P	-62	41	-27.1	-0.5	21.4	16.7	1.33
Fontugene et al., 1991, Mar.Chem	376	P	-1000	1000	-27.1	-0.6	21.5	16.7	1.33
Sackett et al., 1965, Science	15	P	-60	34	-27.1	-0.6	21.5	16.7	1.33
Fischer, 1989;  ANT II/3  > 53 µm	171	P	-60	48	-32.8	-0.6	21.5	22.3	1.33
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	331	P	-61	35	-27.1	-0.6	21.5	16.7	1.33
Fischer, 1989;  ANT II/3  > 53 µm	175	P	-62	47	-27.0	-0.6	21.5	16.6	1.33
Fontugene et al., 1991, Mar.Chem	360	P	-1000	1000	-30.1	-0.7	21.6	19.6	1.33
Fontugene et al., 1991, Mar.Chem	357	P	-1000	1000	-32.5	-0.8	21.7	22.1	1.34
Fontugene et al., 1991, Mar.Chem	384	P	-1000	1000	-26.6	-0.9	21.8	16.1	1.34
Sackett et al., 1965, Science	14	P	-60	28	-26.5	-0.9	21.8	16.0	1.34
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	330	P	-61	29	-26.5	-0.9	21.8	16.0	1.34
Fischer, 1989;  ANT II/3  > 53 µm	174	P	-62	45	-27.6	-0.9	21.8	17.2	1.34
Fischer, 1989;  look up	183	P	-62	56	-28.5	-1.0	21.9	18.0	1.34
Fontugene et al., 1991, Mar.Chem	385	P	-1000	1000	-23.1	-1.2	22.0	12.6	1.34
Fontugene et al., 1991, Mar.Chem	386	P	-1000	1000	-25.8	-1.3	22.1	15.2	1.35
Fischer, 1989;  ANT II/3  > 53 µm	173	P	-63	44	-29.4	-1.4	22.2	18.8	1.35
Sackett et al., 1965, Science	16	P	-60	31	-30.4	-1.5	22.3	19.9	1.35
Sackett et al., 1965, Science	18	P	-61	34	-28.3	-1.5	22.3	17.8	1.35
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	332	P	-61	31	-30.4	-1.5	22.3	19.9	1.35
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	334	P	-62	35	-28.3	-1.5	22.3	17.8	1.35
Fontugene et al., 1991, Mar.Chem	359	P	-1000	1000	-30.4	-1.5	22.3	19.8	1.35
Fontugene et al., 1991, Mar.Chem	367	P	-1000	1000	-28.5	-1.5	22.3	17.9	1.35
Fontugene et al., 1991, Mar.Chem	368	P	-1000	1000	-28.3	-1.5	22.3	17.7	1.35
Fontugene et al., 1991, Mar.Chem	369	P	-1000	1000	-28.0	-1.5	22.3	17.5	1.35
Sackett et al., 1965, Science	21	P	-64	40	-27.9	-1.6	22.4	17.3	1.35
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	337	P	-64	41	-27.9	-1.6	22.4	17.3	1.35
Fontugene et al., 1991, Mar.Chem	370	P	-1000	1000	-27.9	-1.7	22.4	17.3	1.35
Fischer, 1989;  ANT III/2  > 53 µm	180	P	-63	54	-25.9	-1.7	22.4	15.3	1.35
Fischer, 1989;  ANT II/3  > 53 µm	172	P	-64	44	-30.7	-1.7	22.4	20.1	1.35
Sackett et al., 1965, Science	22	P	-64	52	-30.6	-1.8	22.6	20.0	1.35
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	338	P	-65	52	-30.6	-1.8	22.6	20.0	1.35
Fontugene et al., 1991, Mar.Chem	358	P	-1000	1000	-30.5	-1.9	22.6	19.9	1.35
Maren Voß. 1991, Ph.D. Thesis, Kiel University	277	N	73	-11	-23.4	-99.0	-99.0	-2.2	#NUM!
Saupe, 1989, Marine Biology	79	P	72	155	-22.8	-99.0	-99.0	-2.8	#NUM!
Rau et al., 1982, Deep Sea Research	71	P	71	-150	-22.4	-99.0	-99.0	-3.2	#NUM!
Rau et al., 1982, Deep Sea Research	72	P	71	-150	-21.5	-99.0	-99.0	-4.1	#NUM!
Saupe, 1989, Marine Biology	80	P	71	150	-24.6	-99.0	-99.0	-1.0	#NUM!
Saupe, 1989, Marine Biology	83	P	71	142	-25.4	-99.0	-99.0	-0.2	#NUM!
Saupe, 1989, Marine Biology	81	P	70	142	-25.8	-99.0	-99.0	0.2	#NUM!
Saupe, 1989, Marine Biology	82	P	70	142	-26.0	-99.0	-99.0	0.4	#NUM!
Saupe, 1989, Marine Biology	84	P	68	135	-26.7	-99.0	-99.0	1.1	#NUM!
Saupe, 1989, Marine Biology	85	P	68	135	-25.1	-99.0	-99.0	-0.5	#NUM!
Saupe, 1989, Marine Biology	78	P	66	170	-21.1	-99.0	-99.0	-4.5	#NUM!
Saupe, 1989, Marine Biology	77	P	64	168	-20.9	-99.0	-99.0	-4.7	#NUM!
Rau et al., 1982, Deep Sea Research	70	P	63	-171	-21.4	-99.0	-99.0	-4.2	#NUM!
Rau et al., 1982, Deep Sea Research	69	P	62	-167	-18.5	-99.0	-99.0	-7.2	#NUM!
Rau et al., 1982, Deep Sea Research	68	P	60	-175	-20.5	-99.0	-99.0	-5.1	#NUM!
Rau et al., 1982, Deep Sea Research	67	P	59	-142	-21.0	-99.0	-99.0	-4.7	#NUM!
Rau et al., 1982, Deep Sea Research	65	P	55	-170	-23.3	-99.0	-99.0	-2.3	#NUM!
Rau et al., 1982, Deep Sea Research	66	P	55	-170	-22.9	-99.0	-99.0	-2.7	#NUM!
Rau et al., 1992, GCA	23	N	47	20	-22.9	-99.0	-99.0	-2.7	#NUM!
Rau et al., 1992, GCA	24	N	47	20	-21.6	-99.0	-99.0	-4.0	#NUM!
Rau et al., 1992, GCA	25	N	47	20	-21.0	-99.0	-99.0	-4.7	#NUM!
Rau et al., 1992, GCA	26	N	47	20	-20.5	-99.0	-99.0	-5.1	#NUM!
Rau et al., 1992, GCA	27	N	47	20	-20.0	-99.0	-99.0	-5.6	#NUM!
Rau et al., 1992, GCA	28	N	47	20	-19.2	-99.0	-99.0	-6.4	#NUM!
Rau et al., 1992, GCA	29	N	47	20	-18.8	-99.0	-99.0	-6.9	#NUM!
Rau et al., 1992, GCA	30	N	47	20	-18.6	-99.0	-99.0	-7.0	#NUM!
Rau et al., 1992, GCA	31	N	47	20	-18.3	-99.0	-99.0	-7.4	#NUM!
Rau et al., 1992, GCA	32	N	47	20	-18.1	-99.0	-99.0	-7.6	#NUM!
Rau et al., 1982, Deep Sea Research	64	P	34	-119	-20.1	-99.0	-99.0	-5.5	#NUM!
Rau et al., 1982, Deep Sea Research	63	P	33	-120	-20.5	-99.0	-99.0	-5.1	#NUM!
Rau et al., 1982, Deep Sea Research	62	P	28	-155	-20.3	-99.0	-99.0	-5.3	#NUM!
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	321	P	22	82	-20.6	-99.0	-99.0	-5.0	#NUM!
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	322	P	21	67	-23.3	-99.0	-99.0	-2.3	#NUM!
Eadie and Jeffrey, 1973, Marine Chemistry	61	P	-51	-77	-26.0	-99.0	-99.0	0.4	#NUM!
Sackett et al., 1965, Science	11	P	-59	31	-27.6	-99.0	-99.0	2.0	#NUM!
Sackett et al., 1965, Science	12	P	-59	46	-25.6	-99.0	-99.0	0.0	#NUM!
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	327	P	-59	31	-27.6	-99.0	-99.0	2.0	#NUM!
Wada et al., 1987, Deep Sea Research	74	P	-60	-116	-26.4	-99.0	-99.0	0.8	#NUM!
Fischer, 1989;  ANT III/2  > 53 µm	181	P	-60	54	-30.0	-99.0	-99.0	4.3	#NUM!
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	328	P	-60	47	-25.9	-99.0	-99.0	0.3	#NUM!
Sackett et al., 1965, Science	17	P	-61	40	-28.3	-99.0	-99.0	2.7	#NUM!
Wada et al., 1987, Deep Sea Research	73	P	-61	-150	-27.4	-99.0	-99.0	1.8	#NUM!
Wada et al., 1987, Deep Sea Research	75	P	-61	150	-32.3	-99.0	-99.0	6.7	#NUM!
Wada et al., 1987, Deep Sea Research	76	P	-61	-150	-28.3	-99.0	-99.0	2.7	#NUM!
Fischer, 1989;  ANT III/2  > 53 µm	182	P	-61	55	-29.1	-99.0	-99.0	3.4	#NUM!
Sackett et al., 1966, Erdöl und Kohle-Erdgas-Petrochemie 19: 562 - 664	333	P	-61	40	-28.3	-99.0	-99.0	2.7	#NUM!
Fischer, 1989;  look up	188	P	-62	61	-34.3	-99.0	-99.0	8.7	#NUM!
Fischer, 1989;  look up	190	P	-62	53	-32.0	-99.0	-99.0	6.4	#NUM!
Fischer, 1989;  look up	187	P	-63	61	-33.3	-99.0	-99.0	7.7	#NUM!
Eadie and Jeffrey, 1973, Marine Chemistry	59	P	-64	-114	-25.5	-99.0	-99.0	-0.1	#NUM!
Eadie and Jeffrey, 1973, Marine Chemistry	60	P	-65	-74	-26.0	-99.0	-99.0	0.4	#NUM!
Fisher, 1989;  Metor 56/3	155	P	-1000	-1000	-30.0	-99.0	-99.0	4.4	#NUM!
