60	-26	-23.4	10.6	14.4	14.4	1.16
57	-29	-23.1	10.2	14.6	14	1.16
59	-28	-24.2	9.8	14.8	15	1.17
70	0	-25.7	9.7	14.8	16.6	1.17
64	-8	-25.6	7.7	15.8	16.2	1.2
70	0	-24.2	7.1	16.2	14.7	1.21
70	0	-27.1	6.2	16.7	17.5	1.22
63	175	-24.1	6.2	16.7	14.5	1.22
66	-10	-27.1	6	16.8	17.5	1.22
72	10	-26.3	3.8	18.2	16.4	1.26
67	171	-20.5	3.6	18.3	10.6	1.26
68	169	-18.7	3.5	18.4	8.8	1.26
63	179	-19	3.1	18.7	9	1.27
68	173	-21.9	2.7	18.9	11.9	1.28
67	173	-22.5	2.6	19	12.5	1.28
66	170	-20	2.4	19.2	9.9	1.28
66	170	-25	2.4	19.2	14.9	1.28
72	-7	-21.9	2.4	19.2	11.9	1.28
72	-8	-23	2	19.4	12.9	1.29
72	-8	-22.3	1.6	19.7	12.2	1.3
58	171	-20.3	1	20.2	10.1	1.31
73	162	-25.3	0.8	20.4	15	1.31
58	173	-19	0.7	20.4	8.7	1.31
68	173	-21.7	0.6	20.5	11.4	1.31
58	172	-19.5	0.2	20.8	9.1	1.32
73	-6	-25.3	0.2	20.9	15	1.32
72	-1	-25.7	-0.7	21.6	15.2	1.33
57	171	-20.5	-1.2	22	10	1.34
59	171	-20.3	-1.5	22.3	9.8	1.35
59	171	-20.7	-1.6	22.4	10.1	1.35
0	-73	-20	31.6	8.1	13.3	0.91
-4	-73	-20.3	31.4	8.1	13.6	0.91
-7	-73	-19.9	30.1	8.3	13.1	0.92
-1	-89	-19.4	29.6	8.4	12.5	0.93
-10	-74	-20.7	29.6	8.4	13.8	0.93
0	-89	-19.7	29.5	8.5	12.7	0.93
-4	-90	-19.4	29.4	8.5	12.5	0.93
-6	-89	-20.5	29.4	8.5	13.6	0.93
-12	-76	-20.7	29.2	8.5	13.8	0.93
-6	-89	-20.4	29.2	8.5	13.5	0.93
-8	-89	-20.1	28.9	8.6	13.2	0.93
-9	-88	-20.5	28.3	8.7	13.4	0.94
-10	-88	-20	28.3	8.7	12.9	0.94
-16	-76	-20.4	28.1	8.8	13.3	0.94
-11	-88	-19.9	28	8.8	12.8	0.94
-14	-86	-19.2	28	8.8	12.1	0.94
-13	-87	-19.5	27.9	8.8	12.4	0.94
-16	-74	-19.1	27.7	8.8	12	0.95
-12	-88	-19.5	27.7	8.8	12.3	0.95
-15	-85	-19.7	27.6	8.8	12.5	0.95
-15	-86	-19.6	27.6	8.9	12.5	0.95
-15	-85	-20.1	27.6	8.9	13	0.95
-19	-61	-20.7	27.4	8.9	13.6	0.95
-18	-65	-20.4	27.4	8.9	13.2	0.95
-17	-70	-19.6	27.4	8.9	12.5	0.95
-13	-88	-19.8	27.3	8.9	12.7	0.95
-16	-76	-19.2	27.2	8.9	12.1	0.95
-16	-79	-19.5	26.9	9	12.3	0.95
-10	138	-21.4	26.8	9	14.2	0.96
-11	138	-21.4	26.8	9	14.2	0.96
-23	-77	-19	26.6	9.1	11.8	0.96
-14	150	-24.5	26.4	9.1	17.3	0.96
-15	150	-24.5	26.4	9.1	17.3	0.96
-30	-58	-21.8	25.7	9.3	14.5	0.97
-21	-76	-19.2	25.2	9.4	11.8	0.97
-1	89	-20.6	25	9.4	13.2	0.98
-24	-59	-19.3	24.8	9.5	11.9	0.98
-2	88	-19.9	24.6	9.5	12.5	0.98
-4	17	-20.9	24.5	9.6	13.4	0.98
-2	92	-19.7	24.2	9.6	12.2	0.98
-3	18	-21.5	24.2	9.6	14	0.98
-8	82	-18.1	24.1	9.7	10.6	0.99
-25	-77	-19	23.9	9.7	11.5	0.99
-6	15	-21.7	23.9	9.7	14.1	0.99
-9	14	-21.4	23.7	9.8	13.9	0.99
-12	14	-21.1	23.6	9.8	13.6	0.99
-33	-58	-21.4	23.5	9.8	13.8	0.99
-11	79	-19.9	22.8	10	12.3	1
-15	15	-21.7	22.4	10.1	14	1
-24	20	-21.7	22.2	10.2	14	1.01
-28	-78	-19.6	22	10.2	11.9	1.01
-2	85	-20.1	21.9	10.2	12.3	1.01
-25	21	-21.7	21.9	10.2	13.9	1.01
-26	22	-26.7	21.4	10.4	18.9	1.02
-17	16	-22.8	21.3	10.4	15	1.02
-21	18	-21.3	21.3	10.4	13.4	1.02
-35	-58	-21.7	21.2	10.5	13.9	1.02
-5	82	-19.5	21.1	10.5	11.7	1.02
-19	17	-21.9	21.1	10.5	14	1.02
-29	32	-21.5	21.1	10.5	13.7	1.02
-4	82	-18.3	21	10.5	10.4	1.02
-27	26	-20.5	20.7	10.6	12.6	1.02
-34	52	-20.4	20.7	10.6	12.5	1.02
-9	80	-18.6	20.5	10.6	10.7	1.03
-30	35	-22.2	20.5	10.6	14.3	1.03
-31	38	-21.6	20.2	10.7	13.7	1.03
-29	30	-22.5	20	10.8	14.6	1.03
-33	49	-21.8	20	10.8	13.8	1.03
-39	-59	-20.3	19.7	10.9	12.3	1.04
