"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
-46.88,7.42,2543,-999.9900,0.1978,1
48.22,-27.06,2558,1.28,1.0250,1
-30.87,14.34,2569,0.7900,0.1000,2
25.17,-16.85,2573,1.008,0.3425,1
15.83,-17.86,2576,0.645,0.8200,1
32.02,-76.07,2590,1.1000,0.9000,2
37.11,-32.29,2655,0.9683,-999.9900,2
61.00,-21.00,2658,1.0475,0.53,1
-19.70,8.88,2675,0.65,0.1200,1
4.73,-20.94,2675,1.1700,0.4300,2
37.58,-31.84,2690,1.0233,-999.9900,1
69.37,-6.55,2711,1.4100,1.0800,2
-46.10,-13.23,2714,0.2900,-0.9600,2
0.82,-15.51,2764,1.2600,0.3000,2
21.15,-18.57,2778,0.8822,0.3414,1
63.52,-0.73,2781,1.1095,1.2850,2
55.47,-27.89,2795,0.51,0.3760,1
4.34,-43.49,2816,1.0875,0.2500,1
26.84,-15.11,2820,1.1000,0.2700,2
-28.87,-45.68,2837,1.0000,-0.2000,2
-35.13,17.54,2840,0.5500,0.0500,2
52.55,-20.33,2841,1.0617,0.2975,1
-28.87,-45.70,2843,1.3000,0.2000,2
-15.54,-12.71,2845,-999.9900,0.5400,2
4.81,3.40,2861,0.7583,0.4344,1
5.67,-19.85,2862,1.07,0.4867,1
66.60,1.12,2900,1.4000,-999.9900,2
4.92,-20.50,2931,1.11,0.6400,1
-30.92,-36.08,2941,0.68,0.5350,1
-3.56,-12.56,2945,-999.9900,0.0900,1
-28.64,-45.54,2951,1.1000,0.2000,2
31.68,-75.42,2972,0.9000,0.4000,2
-17.14,-13.99,2974,-999.9900,0.6400,2
31.67,-75.42,2975,1.4000,0.3000,2
-23.43,11.70,2987,0.502,-0.2927,1
31.36,-75.06,3007,1.1000,-999.9900,2
43.50,-29.87,3020,1.3000,0.7000,2
-28.74,-45.53,3021,1.2000,0.2000,2
4.20,-43.49,3040,1.43,0.3667,1
-29.17,13.09,3044,0.4300,-0.0800,2
44.36,-26.54,3050,1.1467,0.5700,1
9.17,-17.66,3057,-999.9900,0.3100,2
4.34,-43.41,3063,1.03,0.3400,1
43.47,-30.66,3070,1.046,0.5333,1
23.50,-18.72,3080,1.0600,-0.0700,2
18.08,-21.03,3082,0.9900,0.3300,2
4.38,-20.87,3083,1.0800,0.3200,2
18.43,-21.08,3093,0.8929,0.2140,1
15.95,-18.13,3094,0.6000,-999.9900,2
17.95,-21.05,3100,0.8800,0.1900,2
-30.58,13.28,3103,0.6550,0.0500,2
-21.88,7.10,3105,0.7600,0.0900,2
-5.78,-10.75,3125,0.9067,0.3500,1
4.24,-43.67,3129,1.2600,0.4000,2
-41.28,-14.49,3134,0.71,-0.6650,1
37.80,-10.17,3146,0.9445,0.2250,2
5.45,-21.14,3152,0.965,0.3700,1
-30.88,-38.20,3152,-999.9900,0.4100,2
13.88,-18.31,3156,-999.9900,0.0700,2
-8.68,-11.85,3161,-999.9900,0.2700,2
4.36,-43.70,3164,1.118,0.4250,1
14.17,-18.58,3167,0.7833,0.1920,1
-46.51,-15.33,3175,0.3100,-0.8200,2
-22.33,11.20,3204,0.4767,-0.1344,1
-24.69,7.24,3210,0.722,0.2250,1
-30.81,-14.71,3213,1.0100,0.5500,2
-1.67,-12.43,3225,0.9767,-0.1590,1
35.27,-29.25,3225,-999.9900,0.1000,2
11.65,-80.13,3237,0.7665,1.2066,1
5.31,-44.26,3288,0.9000,0.3000,2
3.82,-41.62,3291,1.3000,0.3100,2
5.39,-21.72,3291,1.1100,0.3100,2
-24.14,-14.04,3291,1.0300,0.5900,2
19.00,-20.16,3300,0.9200,0.2300,2
19.37,-19.93,3314,0.8500,-999.9900,2
19.37,-18.93,3320,0.8200,0.1900,2
5.46,-44.48,3326,0.51,0.3067,1
55.26,-26.73,3331,0.7757,0.4500,1
44.71,-24.53,3331,0.6850,0.5750,2
-28.58,-45.23,3353,0.8400,-999.9900,2
30.43,-37.07,3375,1.1500,0.4700,2
40.58,-10.35,3381,0.924,0.1408,1
-30.85,-38.37,3384,-999.9900,0.2200,2
-31.90,-1.33,3385,0.7700,0.4200,2
10.05,-57.53,3410,0.9000,0.1000,2
5.26,-21.71,3428,1.045,0.5500,1
30.73,-74.47,3433,0.5000,-999.9900,2
-30.85,-38.34,3435,-999.9900,0.0400,2
-31.66,-29.66,3436,-999.9900,-0.0900,2
40.00,-22.00,3485,0.9,0.8200,1
-24.18,-12.02,3486,0.9800,0.5500,2
-25.25,12.02,3506,0.6900,-0.2100,2
5.34,-22.06,3518,0.9000,0.0200,2
6.64,-21.90,3527,0.81,0.4000,1
5.64,-44.47,3528,1.4000,0.1000,2
4.56,-43.38,3547,0.811,0.3933,1
50.69,-21.86,3547,1.0200,0.5000,2
-30.83,-38.43,3576,0.465,0.5350,1
19.75,-20.72,3580,0.9600,0.2100,2
-29.53,-45.08,3589,0.6800,-999.9900,2
3.72,-42.91,3598,1.255,-1.1200,1
30.80,-74.80,3615,0.3000,-999.9900,2
51.57,-20.00,3616,0.8125,-999.9900,1
-46.00,0.00,3656,-999.9900,-0.0400,2
52.43,-16.67,3663,0.7900,0.1300,1
24.45,-19.84,3680,1.0000,0.3000,2
5.33,-34.03,3682,0.7700,0.1900,2
-42.91,8.90,3702,0.1957,-0.4750,1
-42.91,8.90,3702,0.5000,-0.4400,2
2.27,-33.02,3705,0.9100,-0.1300,2
-0.20,-23.15,3706,0.896,0.1692,1
0.01,-23.50,3711,-999.9900,0.0500,2
13.83,-18.96,3728,0.7500,-0.2400,2
-31.99,-36.65,3739,1.1750,-999.9900,1
-51.90,4.52,3744,-0.0200,-0.8100,2
-42.98,-20.86,3762,-0.1800,-0.7800,2
-21.74,5.42,3772,0.65,0.0700,1
