"ECS" "pdf.landocean" "pdf.land" "pdf.ocean" "pdf.dust0x" "pdf.dust2x" "pdf.wind1x" "pdf.wind2x" "pdf.sl0x" "pdf.sl2x"
0.5 2.72057233330107e-17 0.000743469472937154 3.11522551233428e-18 0 0 1.28211551869966e-16 1.88190121338897e-16 0 4.37109594488658e-18
0.51 1.27470854775857e-17 0.000780727344447555 2.22283992750079e-17 3.18372250065195e-17 0 5.7039843899832e-17 2.11940607145493e-16 0 3.41322334134393e-17
0.52 2.98159019932002e-18 0.000811197955339069 8.61134027464576e-18 2.01574867939569e-17 6.41298787447625e-18 1.59050250341913e-16 1.93477986711097e-16 0 2.0231014637217e-17
0.53 5.97241738601137e-17 0.000835992363846815 0 0 4.01884377945944e-18 7.67516171854152e-17 2.18958567566993e-16 0 3.585611203885e-17
0.54 5.65332630968776e-17 0.000854796310290157 1.24479638195663e-17 0 0 2.38298118496578e-17 2.03984648491279e-16 0 1.50949450324742e-19
0.55 4.08125825790602e-17 0.000869376355636804 0 0 8.3754281680561e-17 1.49181550241028e-16 2.10604635063813e-16 0 2.37480834119253e-17
0.56 4.92383077015298e-17 0.000881219275164738 0 0 0 1.38648533251158e-16 2.2111617217068e-16 2.27374735911832e-18 3.64260159201350e-17
0.57 3.9000227088612e-17 0.000892400315962085 2.93231999413631e-17 4.69472188219275e-18 3.34077494799244e-17 3.73944854701154e-17 2.53979152380577e-16 7.98827522141054e-18 5.86984490929631e-18
0.58 9.0732206456343e-17 0.000905098753600738 2.42033665734462e-18 0 8.24196188789417e-17 1.20237428074567e-16 3.39142956969983e-17 7.69915172934572e-18 2.57212825526824e-18
0.59 7.48099365625314e-17 0.000921557875153454 0 4.72145881180035e-18 0 1.85551862403547e-17 5.88708480648554e-17 4.49553210805317e-17 1.24652782173520e-17
0.6 0 0.000943150854744745 3.95601802199314e-17 1.52961527624988e-17 3.73503689392563e-17 4.57333235260295e-17 7.9090272817966e-17 0 1.52792692722068e-17
0.61 3.81020613516987e-17 0.000972237976884077 7.78130369228755e-18 0 2.52406209843579e-17 1.48863554967334e-16 1.27186279763935e-16 0 0
0.62 2.77284013215400e-17 0.00100844077344061 1.47764335852532e-17 0 7.74032968314064e-17 5.62330312975906e-17 1.32954835777784e-16 5.88834156687043e-18 1.35348541665332e-18
0.63 1.42263174938079e-17 0.00105379420376341 1.97597675353802e-17 5.88646566807536e-18 4.38328534458764e-16 1.55665735925866e-16 6.59228924707971e-17 0 2.82357193685222e-18
0.64 9.94253062572471e-17 0.00110649548291830 1.79829440419194e-17 1.4038711636561e-17 1.84189163188596e-15 7.32543616563499e-17 7.72020108795747e-17 4.90959994739551e-17 0
0.65 3.30369315536133e-17 0.00116689508810433 6.39844001947552e-17 4.57728711413218e-17 9.87350356785577e-15 1.10099295919558e-16 1.56270125698552e-16 2.84072042448089e-17 0
0.66 3.93023612224569e-17 0.00123287991771037 3.12197173473473e-17 6.24213161249818e-16 5.51044763448176e-14 1.29246185451038e-16 1.85792179130011e-16 2.98954408995107e-17 0
0.67 8.01768185787345e-17 0.00130282184679171 1.04142451106405e-16 5.45344212571198e-15 2.60451879371017e-13 4.1331398797739e-18 1.56103359042839e-16 4.61892964728828e-16 0
0.68 5.62390511088199e-17 0.00137426553436088 1.42247325030098e-16 3.79552370166257e-14 1.28831594292629e-12 6.64916493851503e-17 6.37256744606573e-18 2.15059584821528e-15 0
0.69 6.93890289015964e-17 0.0014444436503549 2.01115047172680e-17 2.50496759890098e-13 5.47149252604713e-12 5.03647796184758e-17 6.44376678744663e-17 1.46727605867268e-14 0
0.7 1.16603313567165e-16 0.00151029241457692 7.53826198645193e-17 1.47064123328357e-12 2.37673082139381e-11 3.39950152080184e-17 8.41697400998248e-17 9.5165473063934e-14 0
0.71 1.79826101531532e-17 0.00156956777548131 4.55858186505116e-16 8.29241472298088e-12 9.03716676265312e-11 6.64707536793495e-17 8.95284888667577e-17 5.52154419883085e-13 0
0.72 1.27170496791328e-16 0.00161855410212610 1.95042116677607e-15 4.13109558963225e-11 3.45164042381334e-10 9.39213919298003e-18 5.99901632727853e-17 3.09887368982253e-12 0
0.73 8.44362453527637e-17 0.00165728627047268 1.15437954005204e-14 1.98545169925135e-10 1.17339286506939e-09 6.50467591490537e-17 2.81595698414444e-20 1.54588279975778e-11 4.25151603938608e-18
0.74 1.27002252563631e-16 0.0016824229025755 5.5612229449806e-14 8.41565333205695e-10 3.94579955553901e-09 4.74406151260391e-17 1.79111389855184e-17 7.4539783973296e-11 1.47390114780326e-17
0.75 1.88792992634551e-16 0.00169650137028508 2.97840838358707e-13 3.44250254933657e-09 1.19785119561504e-08 3.99502632650651e-17 0 3.19708549533933e-10 4.66984772658714e-18
0.76 3.63820670613793e-16 0.00169917827520414 1.31938198028516e-12 1.24418506752426e-08 3.5509953677476e-08 1.52031390750284e-16 0 1.32423223402854e-09 1.23476654472760e-17
0.77 1.87984237252973e-15 0.00169399333301009 6.25105288972273e-12 4.32781887472382e-08 9.61602635382313e-08 7.50592510267749e-17 1.15833362046875e-16 4.89393298847527e-09 5.7398892309836e-17
0.78 1.37262827055281e-14 0.00168400663050962 2.51195145161359e-11 1.33613930379249e-07 2.51619587704734e-07 6.7181313412997e-17 2.64517466464671e-17 1.74252263905727e-08 5.94172634874995e-17
0.79 7.86582065768658e-14 0.00167334501463306 1.05328372619505e-10 3.95060884301751e-07 6.07242008688793e-07 1.29126924358571e-16 3.49284262329439e-17 5.56397046124135e-08 2.40822202796079e-17
0.8 5.2359334818618e-13 0.00166630509828747 3.83361984754187e-10 1.04350605467530e-06 1.40433803302287e-06 1.97066875433497e-17 2.83293605319107e-17 1.70666318081016e-07 9.52770302216304e-17
0.81 2.65153019331918e-12 0.0016672647214299 1.42552121949871e-09 2.62294832716534e-06 3.01837360051720e-06 1.21814582632247e-16 8.514054759972e-18 4.72686374653845e-07 4.55269340717229e-17
0.82 1.50632787588407e-11 0.00167857892727284 4.69479352345739e-09 5.93551562476621e-06 6.17860408657449e-06 9.44452866649739e-17 1.62259557632547e-16 1.25454476012819e-06 9.32775341545737e-17
0.83 6.67117088629488e-11 0.00170432843632758 1.55164663079586e-08 1.26915646096034e-05 1.18258849106665e-05 0 4.88854343976247e-17 3.03248771038485e-06 9.5866119519559e-17
0.84 3.23497698273326e-10 0.00174301048563315 4.62077770736662e-08 2.46345675242771e-05 2.14731266211636e-05 1.91701029366668e-16 9.02116389080584e-17 7.0189079742091e-06 7.51209627701494e-16
0.85 1.25395436235798e-09 0.00179708233108163 1.3607488517259e-07 4.48610920213993e-05 3.66459482528042e-05 3.71487764829981e-17 7.54045507680065e-16 1.49516365135288e-05 7.43532252565202e-15
0.86 5.20117063388819e-09 0.00186238314152646 3.66324667497692e-07 7.47706167233392e-05 5.926919419365e-05 1.68152247121299e-16 6.95039992388624e-13 3.05623140462793e-05 8.0245124424352e-14
0.87 1.7671717482779e-08 0.00193806460657174 9.63921214645493e-07 0.000116160362381113 9.06225286332256e-05 1.50484195640556e-16 8.26077266324718e-11 5.82032374734692e-05 6.5941087256903e-13
0.88 6.28786641642918e-08 0.00202021650739445 2.34672476315497e-06 0.000166409712145272 0.000131840706031492 2.8460230355244e-18 1.37905122365435e-08 0.000106924733085458 5.44079074329668e-12
0.89 1.87639786322132e-07 0.00210614608635697 5.53639281693411e-06 0.000221049939367465 0.000183238929318112 1.31422011538215e-16 3.81961105920974e-07 0.000185380173820452 3.72378867033243e-11
0.9 5.74991903303323e-07 0.00219323800573458 1.22059430274538e-05 0.000272469383887776 0.000245927148078706 2.81334280011944e-16 9.24643754838285e-06 0.000312118094736402 2.38013908534184e-10
0.91 1.51134856010511e-06 0.00227973065012426 2.59306643151289e-05 0.000310475597367413 0.000322830611639235 1.01760718028421e-13 6.35014402425953e-05 0.000501460730581699 1.33837977129148e-09
0.92 4.00978713351486e-06 0.00236491828644946 5.19176365049152e-05 0.000329953201900716 0.000423470686378549 5.67704374194355e-12 0.000233791045614702 0.000786335195398166 6.72952564497866e-09
0.93 9.3213507883432e-06 0.00244938348917430 9.99016952349825e-05 0.000324725295091501 0.000565804720202789 6.49010580324419e-10 0.000365335210829442 0.00118565211358986 3.07876384852782e-08
0.94 2.15662022527331e-05 0.00253472046100327 0.000182558999930118 0.000300168855679277 0.000786594841930648 1.51370543857182e-08 0.000243410433991098 0.00174964255311492 1.23137078648517e-07
0.95 4.46015015522729e-05 0.00262288853151546 0.000320752194491206 0.000261324111326233 0.00113881424896614 5.28880090379703e-07 7.46443836671414e-05 0.00249759605222842 4.55398633976764e-07
0.96 9.08687431277957e-05 0.00271763292389648 0.00053922373852221 0.000219655211143073 0.00170962422162592 5.76674847745657e-06 1.12360879484864e-05 0.00350237338836237 1.46093829141377e-06
0.97 0.000168629511671690 0.00282033692276866 0.00087448476675317 0.000186353740186521 0.00260492956106049 5.76946819796791e-05 6.7118654906677e-07 0.00478723301110593 4.35194170208334e-06
0.98 0.000306575735766972 0.00293472200074092 0.00136768440610332 0.000167710325757673 0.00397477218865844 0.000280109329164067 3.21106202361955e-08 0.00647657675722795 1.12745318853879e-05
0.99 0.000516861491486968 0.00306103800697984 0.00207505996160805 0.000172584216665748 0.00597817408590287 0.000914888943186505 8.89398799696947e-07 0.00862027263914929 2.70403329821373e-05
1 0.000853593645826006 0.00320057818872027 0.00306041215558501 0.000199335509151566 0.00881308697059965 0.00187888736819207 1.54529714464391e-05 0.0114591645000661 5.69595107242867e-05
1.01 0.00132973979309124 0.00335251028985895 0.004406052650309 0.000255179976907974 0.0126666463592861 0.00270432425570824 0.000241281382913441 0.0150891477573506 0.000110475328726977
1.02 0.00203896398916493 0.00351504898088979 0.00620796653636393 0.000337993185234304 0.0177517261125562 0.00305643380711413 0.00126481958151510 0.0199383541286651 0.000191123604084787
1.03 0.00299578872003443 0.00368659395332009 0.00857888719713565 0.000463220399993926 0.0242655189917125 0.00324394367787493 0.0039100294869296 0.0261191780027077 0.000304018877726507
1.04 0.00435251075693147 0.00386375037203291 0.0116497189730288 0.000633997935895086 0.0324419183598320 0.00366870533959584 0.00679047659602959 0.0342728459659468 0.000440961798508378
1.05 0.00612638719495204 0.00404459146982478 0.0155492837680640 0.000878382130209506 0.0425321538350072 0.00425681664259219 0.0092319643401459 0.0444358104011034 0.000595570747826355
1.06 0.00853030041014161 0.00422643770138731 0.0204237965787572 0.00119706139821144 0.0548648409278484 0.00505273897342308 0.0137287703990684 0.057417983924188 0.000758366171324438
1.07 0.0115465017963141 0.00440773531683663 0.0263790062312458 0.00161513645728031 0.0698198695461955 0.00643945428492614 0.0190704715585350 0.0730614663505209 0.00093363958834188
1.08 0.0153729038188188 0.00458783347633319 0.0335411295561143 0.00211418364026075 0.087853921481936 0.00874236444452534 0.0216239747943546 0.0922439230191489 0.00113360733787292
1.09 0.0198825084611092 0.0047666634488339 0.0419563267419199 0.00269418959656383 0.109437447640025 0.0113938532601224 0.0237569216727672 0.114534462978162 0.00139877784046001
1.1 0.0251376226059973 0.00494519980298726 0.0517118061459763 0.00332259932663885 0.135005812280568 0.0141309782119881 0.0302409258067328 0.140783231978866 0.00175415009900557
1.11 0.030912118118192 0.00512504982570598 0.0627938930732053 0.00398919673284161 0.164907475142645 0.0173133168522242 0.0405383411454422 0.170314754427110 0.00226753832423297
1.12 0.0371651167347166 0.00530816645005597 0.0752658259558588 0.00468788220650101 0.199288360989315 0.0215292462325296 0.050189178249069 0.203943967780639 0.00295457309826125
1.13 0.0437586145850983 0.00549669827352451 0.0890858699716222 0.00545334230235485 0.238162796511075 0.0263679548157256 0.0587889027719026 0.240885312738857 0.00387830965439724
1.14 0.0507964930836583 0.00569332503739366 0.104326554902645 0.00633289151269306 0.281288200507845 0.0300047113779633 0.0668117159212564 0.281958583521203 0.00501401657673223
1.15 0.0583868336354332 0.00589918195422061 0.120955697680243 0.00742538929701877 0.328420932996846 0.031589715193492 0.073282563563026 0.32646405013139 0.00635728805312524
1.16 0.0669193405506974 0.00611776025003738 0.139095577878882 0.00878717147875016 0.379240167813369 0.0331315989749505 0.0777485655506521 0.375420023615016 0.0078155975786847
1.17 0.0765965056177726 0.00634829462763349 0.158768065609930 0.0105149920484344 0.433692945329463 0.0363654371856823 0.0793469262142167 0.428420154890029 0.00929647152513867
1.18 0.0878824586898489 0.00659480882660221 0.180211220513983 0.0126013815291235 0.491923971635568 0.0409419882650246 0.0789828353278932 0.487077085296833 0.0106864901479205
1.19 0.100782362261836 0.00685538993208655 0.203558260921188 0.0150757845471818 0.554486737338818 0.0469889850319071 0.0743284215687542 0.551328383328428 0.0118881897332199
1.2 0.115577048562291 0.00713305596133875 0.229237065453204 0.0178795356839369 0.622101602708084 0.0539014437121660 0.0693297754324989 0.623481182882304 0.0128658371404293
1.21 0.132064947107431 0.00742664522506269 0.257483794444203 0.0210188357978656 0.695649300250489 0.0612335747035671 0.075463840088647 0.703316420034132 0.0136489668494213
1.22 0.150406196918616 0.00773771859735658 0.28886807303491 0.0244751602400318 0.77563187887432 0.0693732317464 0.0859406547819934 0.793038555751567 0.0143796646211308
1.23 0.170422500549593 0.00806649597416486 0.323512012616569 0.0283108081723185 0.8622160237583 0.0788506487845165 0.0891329727086295 0.891370524734738 0.0152576647127056
1.24 0.192303670645479 0.00841325649125234 0.361806853005444 0.032575172554937 0.954518194841846 0.0900124021557513 0.0902210588768332 0.999001589125408 0.0165129665390021
1.25 0.215891242408459 0.00878022268020835 0.403344595140617 0.0373695221934598 1.05103429466343 0.101592414621151 0.094512866144221 1.11308747053853 0.0182615447719146
1.26 0.241204499814243 0.00916646748551186 0.447820771423932 0.042741204329715 1.14905019902876 0.110497587048127 0.0959804414628882 1.23180411108694 0.0205304366347842
1.27 0.267779042566313 0.00957697593014835 0.494009084440586 0.0487371892884381 1.24537467075450 0.117016121469093 0.0916208791686518 1.35121857180297 0.0231827621718553
1.28 0.295104229781267 0.0100094718340547 0.540588666504293 0.0553012008373394 1.33619313760598 0.124255293987904 0.0864809266867855 1.46721080311245 0.0261008475945545
1.29 0.322308434397797 0.0104715075863640 0.585790590443551 0.0623172486619576 1.41757950720543 0.133644513834377 0.086716599158635 1.57603469144058 0.029198165568861
1.3 0.348466246554090 0.0109602716423383 0.627569965417469 0.0695439581714416 1.48605084602164 0.143865579893397 0.091472352982094 1.67261606614491 0.0325533142662225
1.31 0.372748322616836 0.0114825604804227 0.664486708262456 0.0766899867058348 1.53828281334971 0.152938446746176 0.0921451616346113 1.75477940105066 0.036236841911701
1.32 0.394395106926201 0.0120369310506267 0.694608079387487 0.0834213118119571 1.57245406940091 0.161975266488018 0.0897082980735146 1.81832459055834 0.0403316951335048
1.33 0.413073468985374 0.0126266472710944 0.717663753869942 0.089500557956245 1.58688130589755 0.171748578150016 0.0906868666507543 1.86354361180922 0.0446096680315657
1.34 0.428499345040941 0.0132512024367269 0.732559838499147 0.0947915305392408 1.58198899041473 0.176760231786431 0.0926502771829013 1.88848989551487 0.0485883048345676
1.35 0.440752291577333 0.0139085254288974 0.740274605243146 0.0993660747244465 1.55804308430874 0.168596061119474 0.0892851641353831 1.895637676202 0.0517767969361914
1.36 0.449841513896173 0.0145981068558135 0.740611034162898 0.103396102485684 1.51740455188271 0.151293271899978 0.0827543974662187 1.88510614061922 0.0534022091031523
1.37 0.455927789868522 0.0153125877423918 0.73514567096807 0.107129189751320 1.46191530690835 0.136226173609637 0.0775483952886308 1.85996828842415 0.0535576712607574
1.38 0.459046685709261 0.0160500179373584 0.724153337899334 0.110743700673088 1.39500576709740 0.128977998403514 0.0740197555247988 1.82098761259528 0.0521691277634058
1.39 0.459210751673490 0.0168005711044525 0.709138914828168 0.114302971226560 1.31933419980833 0.129143401584524 0.0716985262319778 1.77051605588294 0.0500067311824479
1.4 0.456351431213458 0.0175591944002722 0.69049198780718 0.117732386987937 1.23832816462034 0.129259169033319 0.0700790812822106 1.70925432909638 0.0476781183968795
1.41 0.450360813415066 0.0183179101247852 0.669378041016816 0.120924006594601 1.15453210897711 0.124674388648599 0.0666863021956986 1.6390945756848 0.0457842327815255
1.42 0.441302001979208 0.019069851984972 0.646168216953965 0.123750008890983 1.07040733223506 0.117813796515157 0.057311005789916 1.56121971493047 0.0446926933274022
1.43 0.42939946372681 0.0198106173661207 0.62165616274151 0.126225954025151 0.987662369071173 0.111203238561539 0.0469937817918083 1.47783585701503 0.0442600608065781
1.44 0.415266229537643 0.0205357203212279 0.596132031629017 0.128376726625593 0.907476609502619 0.104448319968219 0.0419766053629213 1.39089033894183 0.0441929356201165
1.45 0.399703195095438 0.0212436425949667 0.570071490430458 0.130299562184969 0.830743505576894 0.0977220632144323 0.0399467368572295 1.30282410571355 0.0440168651560433
1.46 0.383618889332099 0.0219349022781848 0.543730996505662 0.131974899056623 0.757934234320177 0.0916606954544878 0.0357862860845874 1.21583694217828 0.0434139223116419
1.47 0.367829610491564 0.022610117740322 0.517473008227036 0.133354943505067 0.689804786899519 0.0853982944493865 0.0292913981385597 1.13220806749046 0.0423621921077632
1.48 0.352832375821711 0.0232737477478706 0.491767989029909 0.134224943294584 0.626885453338565 0.0803919801394703 0.0232921488192551 1.05396327478171 0.0410728220677837
1.49 0.338972178585327 0.0239277196647079 0.467070791382975 0.134503806191003 0.570259626680943 0.0779052343668590 0.0192466872620614 0.983121903790442 0.0399330270789712
1.5 0.326289615201392 0.0245768627243783 0.444260245782564 0.134000835757802 0.520553623327834 0.0749082031226935 0.0186751911625786 0.921197712215711 0.0392638802137769
1.51 0.314944409586949 0.0252233287822028 0.42375379676482 0.132859342572411 0.478842616065541 0.0691136126341466 0.019987768290891 0.869553098591683 0.0392530908270175
1.52 0.304953750017971 0.0258694010974899 0.406631358542636 0.131164561088933 0.445189905075998 0.0632617052477604 0.0201032195300703 0.828456289181918 0.0398498375026283
1.53 0.296621129473216 0.0265159097377165 0.392845124751644 0.129264395602758 0.419946227465983 0.0614846471507051 0.0183291768566293 0.797858462639746 0.0408701851379604
1.54 0.290000020705243 0.0271627870415857 0.383158826244564 0.127516220442434 0.402138966765749 0.0650598990975206 0.0175940955707219 0.776357250334042 0.0420246359486097
1.55 0.285429702382944 0.0278095065093259 0.376817414818115 0.126216852935198 0.391131128329148 0.0715880712974091 0.0215518866562928 0.762456936064877 0.0430264987907082
1.56 0.282806613000434 0.0284556249350591 0.373917711244382 0.125799207441517 0.385239789396663 0.0774536856065399 0.0275738628229680 0.753874976170144 0.0437196710457309
1.57 0.282327726806444 0.0291014081929172 0.373279034120581 0.126281351850206 0.383312012465701 0.0830858603715011 0.0338518774307038 0.748729074363115 0.044027529908693
1.58 0.283673275553708 0.0297483896475808 0.374459345793202 0.127945363952724 0.383795382613075 0.0912104134807683 0.0394932931974615 0.74522522927118 0.0441012373361972
1.59 0.286827734084868 0.0303993051081291 0.376440110571797 0.130502767716226 0.385757558791275 0.100810136144513 0.0434866944149819 0.742144562987125 0.0441748686953329
1.6 0.291311474297019 0.0310600266274913 0.378675713218149 0.133939274956312 0.388380364684486 0.108073215485248 0.0499985978095895 0.73872664332693 0.0445205505205676
